date,turkish,kurdish
2001-01-12,0,6
2001-03-16,1,9
2001-03-23,2,7
2001-04-20,5,13
2001-04-27,0,4
2001-05-18,0,1
2001-05-25,1,25
2001-06-08,0,12
2001-06-15,0,5
2001-06-29,0,3
2001-07-27,0,1
2001-08-03,0,1
2001-08-17,0,2
2001-08-24,1,1
2001-08-31,0,5
2001-09-07,0,1
2001-09-14,0,3
2001-10-19,0,3
2001-10-26,0,4
2002-01-18,0,2
2002-02-01,0,0
2002-03-22,0,25
2002-04-19,1,0
2002-05-03,0,0
2002-05-10,0,3
2002-05-31,0,1
2002-07-05,0,0
2002-07-12,0,0
2002-07-19,1,0
2002-07-26,0,4
2002-08-02,2,2
2002-10-04,0,2
2002-10-25,1,2
2002-11-01,0,1
2002-11-22,0,0
2003-01-10,0,1
2003-01-17,1,12
2003-01-31,1,1
2003-04-04,0,0
2003-05-23,2,1
2003-06-27,0,2
2003-07-04,0,1
2003-07-11,3,3
2003-08-08,2,0
2003-08-15,0,2
2003-08-29,2,3
2003-09-26,0,3
2003-10-03,1,0
2003-10-17,0,0
2003-10-24,0,3
2003-11-07,1,4
2003-11-21,12,0
2003-11-28,0,4
2003-12-05,5,4
2004-01-02,0,1
2004-02-06,0,1
2004-02-13,0,1
2004-02-20,0,1
2004-03-12,2,0
2004-04-16,3,8
2004-04-23,0,5
2004-05-07,1,8
2004-05-14,4,0
2004-05-21,3,0
2004-05-28,2,0
2004-06-04,0,1
2004-06-11,2,3
2004-06-18,9,7
2004-06-25,1,5
2004-07-02,3,4
2004-07-09,0,0
2004-07-16,3,8
2004-07-23,0,2
2004-07-30,3,1
2004-08-06,1,5
2004-08-13,2,0
2004-08-20,3,1
2004-08-27,1,0
2004-09-03,2,11
2004-09-10,5,0
2004-09-17,3,8
2004-09-24,0,1
2004-10-08,2,1
2004-10-15,5,1
2004-10-22,0,2
2004-10-29,6,4
2004-11-05,0,6
2004-11-26,0,3
2004-12-17,0,1
2005-01-07,0,2
2005-01-21,0,5
2005-01-28,1,0
2005-02-25,0,1
2005-03-04,0,0
2005-03-11,0,2
2005-03-25,11,0
2005-04-01,12,0
2005-04-08,2,11
2005-04-15,4,23
2005-04-22,5,2
2005-04-29,10,0
2005-05-06,7,0
2005-05-13,8,3
2005-05-20,17,19
