date,price
2021-01-01,7.4392
2020-12-25,7.547
2020-12-18,7.6239
2020-12-11,7.8562
2020-12-04,7.7981
2020-11-27,7.8332
2020-11-20,7.6323
2020-11-13,7.6602
2020-11-06,8.52
2020-10-30,8.3448
2020-10-23,7.961
2020-10-16,7.9304
2020-10-09,7.8566
2020-10-02,7.7708
2020-09-25,7.6607
2020-09-18,7.5563
2020-09-11,7.4724
2020-09-04,7.4331
2020-08-28,7.3329
2020-08-21,7.3365
2020-08-14,7.3664
2020-08-07,7.2941
2020-07-31,6.972
2020-07-24,6.8484
2020-07-17,6.8587
2020-07-10,6.8658
2020-07-03,6.8623
2020-06-26,6.8546
2020-06-19,6.8531
2020-06-12,6.8126
2020-06-05,6.77
2020-05-29,6.8202
2020-05-22,6.8147
2020-05-15,6.9012
2020-05-08,7.084
2020-05-01,7.012
2020-04-24,6.9742
2020-04-17,6.9317
2020-04-10,6.7001
2020-04-03,6.731
2020-03-27,6.455
2020-03-20,6.5525
2020-03-13,6.3321
2020-03-06,6.0919
2020-02-28,6.2427
2020-02-21,6.0964
2020-02-14,6.0505
2020-02-07,6.0153
2020-01-31,5.9822
2020-01-24,5.9391
2020-01-17,5.8908
2020-01-10,5.8777
2020-01-03,5.9723
2019-12-27,5.9502
2019-12-20,5.94
2019-12-13,5.8082
2019-12-06,5.7766
2019-11-29,5.747
2019-11-22,5.7132
2019-11-15,5.7453
2019-11-08,5.7668
2019-11-01,5.7124
2019-10-25,5.7748
2019-10-18,5.7919
2019-10-11,5.8853
2019-10-04,5.6962
2019-09-27,5.6708
2019-09-20,5.7439
2019-09-13,5.6861
2019-09-06,5.7155
2019-08-30,5.8306
2019-08-23,5.7599
2019-08-16,5.5785
2019-08-09,5.4917
2019-08-02,5.5597
2019-07-26,5.6718
2019-07-19,5.6551
2019-07-12,5.72
2019-07-05,5.6288
2019-06-28,5.7921
2019-06-21,5.8214
2019-06-14,5.9015
2019-06-07,5.831
2019-05-31,5.8382
2019-05-24,6.0825
2019-05-17,6.055
2019-05-10,5.9851
2019-05-03,5.9648
2019-04-26,5.9382
2019-04-19,5.8112
2019-04-12,5.7693
2019-04-05,5.6262
2019-03-29,5.5555
2019-03-22,5.7627
2019-03-15,5.4467
